cell_key,microns_root_id
N:424983,864691135858491438
N:171469,864691135564680652
N:587139,864691135606610100
N:423529,864691136174993670
N:133208,864691136320600542
N:394142,864691135987768456
N:169492,864691136135323787
N:555765,864691135638995259
N:166187,864691135858491438
N:582197,864691136696205565
N:166806,864691135334522089
N:582974,864691135858491438
N:167200,864691136137569149
N:585236,864691135493729678
N:169231,864691136068816515
N:167402,864691135772455243
N:169551,864691136295767518
N:426617,864691135858491438
N:129245,864691134785444605
N:168850,864691135614435275
N:302481,864691135630820614
N:302649,864691135571027334
N:302361,864691136862483054
N:672202,864691135718478897
N:319412,864691135762513256
N:302694,864691135058579099
N:622324,864691135383818475
N:302072,864691135858491438
N:304098,864691135382460890
N:268713,864691135469234060
N:671097,864691135809738904
N:303118,864691135162441517
N:299589,864691136547658350
N:320776,864691136723487229
N:622327,864691135373478088
N:675697,864691135861005153
N:298793,864691135387945813
N:298632,864691136824148334
N:301165,864691135942578355
N:297920,864691136105743321
N:641838,864691135778665824
N:300596,864691135739246212
N:308772,864691136259582174
N:349372,864691134743700982
N:667726,864691135779409958
N:666129,864691136389219191
N:310608,864691135739608212
N:308292,864691135420863669
N:315369,864691134599550808
N:274066,864691135237456274
N:666122,864691135594246187
N:349877,864691135273593513
N:307601,864691135856105518
N:307775,864691135619280580
N:669747,864691135999385763
N:305485,864691135274824977
N:306086,864691135939154436
N:270772,864691135537946232
N:306137,864691135621474330
N:669577,864691135161490265
N:669709,864691136739552366
N:304920,864691135858491438
N:621055,864691136124412454
N:668228,864691135274479845
N:350387,864691136392753708
N:305621,864691135615295691
N:305673,864691135608583620
N:306280,864691135939367937
N:306848,864691135307930950
N:351931,864691135699525154
N:361141,864691135325541204
N:361336,864691135709908993
N:254009,864691136309680730
N:638133,864691136874614450
N:292038,864691136023722809
N:291969,864691135393691378
N:255701,864691135856593454
N:290674,864691135598705188
N:254678,864691136007237578
N:360489,864691134920792903
N:680982,864691135493575615
N:674605,864691136362714487
N:324450,864691135976528451
N:257658,864691135992753857
N:676032,864691135464404037
N:357650,864691135628868419
N:357707,864691136086761324
N:298033,864691135912375465
N:676416,864691135088106272
N:625084,864691135099077664
N:357141,864691136662659806
N:676627,864691135975047168
N:293088,864691135664773218
N:256974,864691135469942098
N:680767,864691136990401173
N:359206,864691135182377986
N:291272,864691135977900099
N:326132,864691136100895349
N:257432,864691135858491438
N:680886,864691135255556939
N:325954,864691134870146867
N:326659,864691135842747107
N:359774,864691136718080630
N:292429,864691135814422808
N:292804,864691135858491438
N:258501,864691135858491438
N:358562,864691135645484783
N:258319,864691136968429774
N:679162,864691135858491438
N:295084,864691136388267639
N:295067,864691135858491438
N:294055,864691136046425692
N:294050,864691135129796282
N:358717,864691135726289983
N:294184,864691135591117808
N:614599,864691136031751611
N:328019,864691136237601039
N:326912,864691135502662493
N:306219,864691135209815623
N:642316,864691135827311973
N:306066,864691135938193412
N:329602,864691135576433156
N:339409,864691135838724243
N:304670,864691135567072855
N:656371,864691136230316734
N:322149,864691135918811056
N:342082,864691136088945975
N:323753,864691135338408469
N:291147,864691135464578885
N:323913,864691135699550818
N:284913,864691135497021739
N:341210,864691135182913607
N:653473,864691135616348009
N:614683,864691135755973074
N:614975,864691135474608704
N:325542,864691137198234177
N:325556,864691135748926088
N:299796,864691136549198446
N:334974,864691135489731570
N:332994,864691136478420871
N:337624,864691135738552892
