cell_key,cilium_length_um,centriole_dist_um,nucleus_volume_um3
N:308860,,,304.95
N:346377,,,93.43
N:308736,,,307.35
N:349025,,5.47,47.34
N:346313,,,219.81
N:347832,,,126.52
N:314163,,,63.14
N:312893,,,152.09
N:275058,,,92.74
N:345619,,,245.65
N:664873,,,460.19
N:313412,,,49.78
N:308482,,,305.81
N:286480,,,407.86
N:320636,,,238.24
N:286483,2.75,4.71,147.51
N:320424,,1.59,72.75
N:646727,,,178.26
N:287565,,4.29,119.44
N:287107,,0.74,59.7
N:287103,,7.45,54.93
N:318482,,,131.44
N:645703,,,264.94
N:318520,,,33.34
N:310486,,,38.74
N:645276,,,133.13
N:320090,,,103.49
N:285683,,,76.33
N:610686,,,42.24
N:285161,,,79.35
N:610668,,,393.11
N:640364,,,102.19
N:343974,,,47.45
N:284849,,,57.19
N:381068,,,67.74
N:664105,,,269.03
N:218659,1.49,7.42,378.6
N:251891,,,29.24
N:380526,,,50.58
N:700104,,,239.55
N:253685,5.15,8.36,134.84
N:595338,,,232.06
N:663023,,,418.15
N:248316,,,28.41
N:249494,,,112.93
N:216471,,2.09,37.95
N:248972,,9.99,64.37
N:250981,,,123.26
N:250877,4.51,4.66,99.43
N:250353,,,54.92
N:382307,,,35.05
N:345455,,,390.71
N:699349,,,229.5
N:695484,,,176.83
N:699094,,,274.21
N:700394,,,68.12
N:258172,,,51.98
N:660186,,,329.25
N:660597,,,46.24
N:660592,,,30.23
N:699659,,6.07,50.55
N:260472,,,58.14
N:376910,,,77.38
N:258433,,,96.04
N:258549,,,295.18
N:259551,2.21,1.85,46.32
N:626592,,,35.99
N:259649,,,44.34
N:657948,,,171.1
N:257647,,,313.06
N:255686,,,297.85
N:254941,,5.55,68.66
N:348068,,,65.63
N:699224,,,25.53
N:255286,,,50.09
N:660697,,,469.9
N:660787,,,275.27
N:696455,,,69.99
N:223711,,,290.04
N:222237,,,299.44
N:379143,,,50.05
N:256338,,,240.35
N:256677,2.36,1.78,35.18
N:240292,,,146.11
N:205215,,,61.0
N:620962,,,320.51
N:239390,,,131.78
N:620448,,,249.14
N:239337,,,259.49
N:619481,,,42.68
N:590432,,,351.18
N:236126,,,50.23
N:668909,,,142.49
N:389991,,,352.48
N:618351,,3.59,53.33
N:618705,,,591.48
N:616836,,11.36,71.04
N:618870,,,152.33
N:708522,,,242.32
N:708524,,,259.41
N:239116,,,210.4
N:708973,,,34.47
N:590811,,,111.46
N:389184,,,298.37
N:386562,,,67.95
N:591101,,,199.9
N:246358,,,335.18
N:622096,,,247.02
N:246584,,,294.59
N:245660,,,34.9
N:621885,,,73.0
N:245321,,,154.55
N:243313,,,30.16
N:243749,,,88.28
N:210641,,,310.72
N:706764,,,139.17
N:244635,,,33.01
N:211366,0.63,2.56,35.04
N:385888,,,73.5
N:244008,,,215.82
N:619806,,,178.85
N:274730,,,108.84
N:277601,,,251.34
N:276854,,4.95,50.83
N:367416,,,53.64
N:274616,,,214.69
N:685776,,,562.85
N:279437,,,114.4
N:606548,,5.65,66.48
N:364587,,,34.89
N:278897,,,301.15
N:275599,,,113.32
N:633153,4.61,5.89,368.41
N:272272,,,258.72
N:272564,,,87.31
N:368501,,,289.66
N:368515,,6.55,54.92
N:632503,,,96.27
N:335407,,3.63,53.23
N:332974,,,377.91
N:636365,,,299.4
N:687050,,,344.5
N:241487,,,57.08
N:633191,,,174.16
N:636469,,,51.48
N:276438,,,277.32
N:639025,,,100.13
N:283944,,,199.31
N:249829,,7.11,46.97
N:249465,,,258.83
N:362620,,,230.7
N:360719,,4.73,45.56
N:285690,,9.72,67.09
N:251434,,6.48,97.92
N:284916,,,113.82
N:685481,,,481.44
N:276688,,,91.36
N:635004,,,46.79
N:278815,,,126.99
N:362695,,4.32,46.77
N:246251,,,75.17
N:333098,,,280.38
N:280200,,,176.94
N:685519,,,72.77
N:333215,,,246.58
N:332857,,,227.43
N:632200,,,29.75
N:363959,,,48.29
N:362363,,,248.1
N:632076,4.0,5.58,64.36
N:231078,,,50.32
N:651480,,,26.19
N:694151,,,75.6
N:264075,,,198.41
N:374648,,,281.87
N:266651,,,254.14
N:266490,,,452.09
N:373398,,,56.77
N:650949,,,302.3
N:650143,,,143.57
N:267109,,,181.87
N:650507,,,51.5
N:650472,,,91.82
N:373891,,,50.5
N:339607,,,112.56
N:342063,,,326.07
N:376009,,,291.63
N:656239,,,238.79
N:627290,,,139.38
N:656687,,,66.08
N:697363,,,58.36
N:259700,,,209.34
N:344520,,,50.29
N:374977,,,85.27
N:263950,,,32.21
N:228264,,,324.19
N:260552,,,230.11
N:260263,,,274.32
N:654119,,0.29,48.35
N:628109,,,57.82
N:262898,,,230.09
N:655980,,,59.8
N:655505,,,29.9
N:271478,,,136.15
N:271265,,,240.92
N:271288,,,134.8
N:236992,,,158.48
N:269816,,,263.52
N:236805,,,245.52
N:370424,,,47.36
N:646357,,,54.92
N:338998,,,51.77
N:235772,,,239.75
N:645672,,,288.74
N:270614,,,48.13
N:645689,,,235.24
N:687986,,,31.47
N:645520,,,95.3
N:269096,,,48.55
N:271004,,5.71,29.8
N:645436,,,266.3
N:645383,,,673.46
N:604600,,,154.65
N:273327,,,36.33
N:337486,,,279.37
N:368085,,,99.95
N:272433,,,49.51
N:370197,,,50.87
N:337729,,,54.77
N:630449,,,156.1
N:692285,,,652.22
N:268149,,,272.56
N:648022,,,208.05
N:627417,,,54.6
N:265685,,,38.69
N:269842,,,274.24
N:369266,,,440.42
N:339260,,,273.09
N:269633,,,272.53
N:371291,,,41.0
N:233435,,,265.6
N:269006,,,281.92
N:630869,,,39.23
N:371530,,,55.1
N:506616,,,47.45
N:470693,,,53.1
N:543145,,,278.36
N:548961,,5.41,72.71
N:781450,,,179.27
N:47657,,,85.53
N:781428,,,31.01
N:784471,,,268.14
N:473461,,,32.27
N:87702,,,240.03
N:84843,,,383.74
N:491190,,,43.56
N:539477,,,70.3
N:90771,,,271.81
N:13595,,,52.68
N:509246,,,83.48
N:783704,,,512.81
N:807269,,,102.76
N:25793,,,36.48
N:509090,,,91.76
N:437082,,,62.59
N:88696,,,48.11
N:469745,,,119.85
N:469737,,,98.51
N:469777,,,215.78
N:48974,,,97.87
N:757562,,,365.73
N:15593,,,209.68
N:21581,,,118.05
N:803113,,,417.32
N:538349,,,75.61
N:42350,,,106.15
N:53456,,,128.15
N:785278,,,27.27
N:472977,,,88.11
N:803357,,,46.5
N:489346,,,47.16
N:444329,,,120.56
N:53725,,5.51,34.72
N:14926,,,41.96
N:548204,,4.17,66.72
N:14714,,,52.21
N:14772,,,65.42
N:86878,,,242.83
N:758293,,,86.96
N:512552,1.35,3.54,38.7
N:510502,,,35.03
N:14900,,,170.61
N:785088,,,335.59
N:487751,,,42.58
N:442826,,,138.54
N:457719,,,340.93
N:493048,,,153.22
N:98605,,,117.04
N:517783,,,317.63
N:44591,,,556.87
N:552364,,,45.12
N:6283,,,327.53
N:552428,,,43.87
N:465365,,,50.14
N:552927,4.93,11.43,72.83
